Crown,KingTower,LeftPrincess,RigthPrincess,CrownOpponent,KingTowerOpponent,LeftPrincessOpponent,RigthPrincessOpponent,Cluster
1,0,0,0,3,4692,2494,0,1
0,0,0,0,3,4392,2786,843,1
0,194,29,0,1,4392,2697,447,1
1,4392,2786,1370,0,3487,2742,0,0
1,4392,1293,2362,0,4244,1770,0,0
0,0,0,0,3,4103,2786,2528,1
0,0,0,0,3,4535,2794,2827,1
1,4392,275,2786,0,4824,3052,0,0
3,4392,2786,2786,0,0,0,0,2
0,0,0,0,3,4103,2528,2786,1
0,0,0,0,3,4535,2698,3052,1
0,4392,2786,0,1,4392,2297,2786,1
3,4824,3052,2620,0,0,0,0,2
2,2069,2485,0,1,5304,0,0,2
0,0,0,0,3,4392,2786,2208,1
0,0,0,0,3,5304,2868,3346,1
2,1783,2519,0,1,3998,0,0,2
1,0,0,0,3,690,1272,0,2
1,4824,1957,3052,0,4824,3052,0,0
2,942,3052,0,1,3846,0,0,2
0,0,0,0,3,5304,3104,1559,1
0,0,0,0,3,4824,3052,3052,1
2,4638,2376,0,1,5115,0,0,2
0,3832,0,0,2,5304,3346,2426,1
0,4020,2668,0,1,5304,2308,1940,1
0,0,0,0,3,4824,3052,2185,1
0,0,0,0,3,4824,1171,3052,1
1,4392,2699,1996,0,4824,3052,0,0
0,4392,1490,0,1,4824,3052,404,1
1,4392,2697,1120,0,4824,2746,0,0
0,0,0,0,3,4347,1255,3052,1
1,1889,0,0,2,4824,1805,0,1
1,4392,2663,1465,0,4008,220,0,2
1,4392,2786,1257,0,4652,3052,0,0
0,0,0,0,3,4824,2893,3052,1
1,3212,0,0,2,2808,1379,0,1
1,4180,2786,602,0,4824,2308,0,0
2,3959,1898,0,1,4392,0,0,2
3,4392,2612,769,0,0,0,0,2
0,0,0,0,3,4824,1408,2518,1
0,0,0,0,3,4824,2496,1939,1
2,4392,2786,0,1,4452,0,0,2
0,4392,2082,0,1,4824,2682,1007,1
1,4334,2786,80,0,4029,262,0,2
1,4392,2400,690,0,4824,3052,0,0
0,4376,3052,0,1,4617,2912,565,1
3,4824,3052,3052,0,0,0,0,2
2,4824,2691,2327,0,563,0,0,2
0,0,0,0,3,3852,3052,3052,1
1,4008,588,1139,0,3525,2588,0,0
2,4008,1438,0,1,1279,0,0,2
0,0,0,0,3,4392,2786,660,1
0,1544,1690,0,1,4008,1482,2047,1
0,4008,2534,0,1,4392,288,2676,1
1,4008,1913,2447,0,3430,1612,0,0
0,4008,2534,0,1,4392,2597,1182,1
2,0,0,0,3,4392,0,0,2
0,4008,2246,0,1,4392,651,2618,1
0,2428,1517,0,1,4392,2786,993,1
1,4008,1691,1910,0,4392,2192,0,0
0,0,0,0,3,4392,2112,2201,1
1,4008,778,2334,0,4392,1427,0,0
1,4008,1808,1692,0,4392,2618,0,0
1,3938,1584,1202,0,4322,1368,0,0
0,0,0,0,3,4008,2424,1472,1
0,4008,2534,0,1,4392,3,2786,1
0,0,0,0,3,4392,1655,2408,1
1,4008,1089,1872,0,4008,2534,0,0
1,4008,2380,2191,0,4008,598,0,0
0,4008,1751,0,1,4392,2597,286,1
0,428,2534,0,1,4392,489,1923,1
0,3362,1281,0,1,3362,1510,558,1
0,3927,2357,0,1,4311,2609,605,1
1,4008,1557,2534,0,4392,2786,0,0
3,4824,1679,620,0,0,0,0,2
0,0,0,0,3,5304,3346,1393,1
1,4824,2172,343,0,4824,2474,0,0
1,4824,3052,1598,0,4824,3052,0,0
1,4824,1576,2907,0,5304,3346,0,0
0,0,0,0,3,4824,2189,3052,1
1,4824,593,3052,0,4392,2786,0,0
1,4329,2786,2225,0,4008,2534,0,0
1,4392,560,2786,0,4824,3052,0,0
0,4392,1986,0,1,4824,3052,390,1
0,0,0,0,3,4392,2786,2497,1
1,4392,1490,1506,0,4824,2565,0,0
0,0,0,0,3,4392,2786,2497,1
0,0,0,0,3,4824,2898,419,1
0,0,0,0,3,4824,875,3052,1
0,0,0,0,3,4392,2786,763,1
0,0,0,0,3,4824,3052,2763,1
1,4392,1591,99,0,4824,2965,0,0
0,0,0,0,3,4824,3052,2863,1
1,0,0,0,3,4440,579,0,1
2,0,0,0,3,4824,0,0,2
1,3950,0,0,2,4008,1219,0,1
2,4392,2618,2279,0,1507,0,0,2
2,2983,1985,0,1,3812,0,0,2
1,0,0,0,3,4348,1032,0,1
3,4392,2253,2786,0,0,0,0,2
1,3714,0,0,2,3743,1775,0,1
1,0,0,0,3,4286,2208,0,1
1,329,0,0,2,4233,2066,0,1
1,4008,118,2374,0,4392,1691,0,0
1,4008,979,367,0,3660,1648,0,0
0,0,0,0,3,4824,2852,2568,1
0,0,0,0,3,4824,1131,3052,1
1,4824,658,2322,0,5251,1934,0,0
0,4597,1570,0,1,4824,2031,3052,1
2,3519,1346,0,1,3947,0,0,2
2,4382,2229,0,1,4906,0,0,2
3,4824,3052,1080,0,0,0,0,2
1,0,0,0,3,2073,3052,0,1
0,4824,3052,0,1,4392,1696,2302,1
1,0,0,0,3,3674,1156,0,1
1,4824,2860,117,0,4824,2578,0,0
2,4824,2942,1553,0,1989,0,0,2
2,4539,1669,0,1,4506,0,0,2
1,883,0,0,2,4718,1728,0,1
0,0,0,0,3,4824,3052,1119,1
0,4824,3052,0,1,4824,2568,3052,1
1,4824,3052,2361,0,4771,3052,0,0
3,4824,2277,2177,0,0,0,0,2
0,0,0,0,3,5304,911,3346,1
1,4824,2033,2905,0,4392,1994,0,0
0,3117,3052,0,1,4824,3052,436,1
0,4725,2956,0,1,5304,2968,3346,1
0,2972,3052,0,1,4824,2116,3052,1
3,2689,3052,3052,0,0,0,0,2
2,648,2296,0,1,4044,0,0,2
2,1225,853,0,1,5299,0,0,2
0,6358,3982,3982,0,6358,3982,3982,0
1,6408,2792,3714,0,5242,2762,0,0
1,6408,1898,3680,0,6408,3955,0,0
2,2998,3024,0,1,3771,0,0,2
3,6276,3900,2726,0,0,0,0,2
0,5358,2356,0,1,5436,2264,353,1
0,6408,4032,0,1,6408,1703,3619,1
0,6408,2176,0,1,6408,3522,2637,1
1,6408,4032,2966,0,6249,2913,0,0
3,6063,2718,0,1,0,0,0,2
2,4724,1749,0,1,5801,0,0,2
1,3035,0,0,2,3373,1590,0,1
2,3160,615,0,1,5893,0,0,2
3,4455,0,0,2,0,0,0,2
1,6408,3636,2440,0,6408,3955,0,0
1,4248,0,0,2,3196,560,0,2
0,2896,4032,0,1,6408,4032,2109,1
2,3310,96,0,1,4980,0,0,2
1,3133,0,0,2,6408,1796,0,1
1,1393,0,0,2,3860,802,0,1
2,3041,686,0,1,911,0,0,2
0,6358,3982,3982,0,6358,3982,3982,0
1,6408,1207,4032,0,6408,1426,0,0
1,6408,4032,2028,0,3867,3053,0,0
1,6408,4032,2926,0,5000,403,0,0
0,5672,2828,0,1,5672,441,2583,1
0,6408,3887,0,1,6408,3298,3443,1
1,6408,2778,3311,0,6408,1009,0,0
1,6408,3520,2205,0,6408,1900,0,0
0,6358,3982,3982,0,6358,3982,3982,0
0,6085,3709,0,1,6085,2685,1899,1
1,6408,263,3724,0,6408,2255,0,0
0,5453,2553,0,1,6408,602,3018,1
1,5903,2288,478,0,5135,2571,0,0
0,6408,4032,0,1,6408,4032,705,1
1,6408,2551,2980,0,6196,2687,0,0
0,6358,3982,3982,0,6358,3982,3982,0
0,6408,2988,0,1,6331,3264,3188,1
1,6408,3307,2981,0,6263,2651,0,0
1,5693,1646,332,0,5693,643,0,0
1,6408,736,4032,0,3349,3012,0,0
1,6408,4032,1540,0,1554,4032,0,0
1,6408,2312,2997,0,6408,43,0,0
0,6408,4032,0,1,6408,1816,1521,1
1,6408,1953,3999,0,6408,3458,0,0
0,6408,4032,0,1,6408,4032,1771,1
1,5657,123,1769,0,5657,1137,0,0
1,6408,3706,832,0,5877,3406,0,0
2,3320,1320,0,1,3217,0,0,2
2,5454,3468,0,1,6048,0,0,2
1,6408,954,1870,0,6408,4032,0,0
0,6300,4032,0,1,6408,3955,4032,1
1,0,0,0,3,5008,3606,0,1
0,4548,3326,0,1,6408,1234,3743,1
0,6408,550,0,1,6408,1238,2653,1
2,5642,2051,0,1,4708,0,0,2
3,6408,2232,4032,0,0,0,0,2
2,5985,2195,0,1,1050,0,0,2
2,6408,3651,0,1,2836,0,0,2
3,1642,0,0,2,0,0,0,2
1,6408,456,4032,0,5502,4032,0,0
0,6408,2512,0,1,6408,3758,2373,1
1,6408,4032,1515,0,5373,4032,0,0
1,5086,2533,1649,0,6408,2092,0,0
1,5880,0,0,2,5028,1770,0,1
2,0,0,0,3,5596,0,0,2
0,5334,3619,0,1,6408,2997,2350,1
0,3906,3886,0,1,6408,1132,3192,1
0,6408,4032,0,1,6408,2306,4032,1
1,6408,2663,2973,0,5373,4032,0,0
1,6408,1916,3000,0,2896,4032,0,0
3,3707,0,0,2,0,0,0,2
2,6408,853,0,1,4748,0,0,2
1,6408,2052,3312,0,6408,2591,0,0
1,6408,1880,3924,0,6408,1522,0,0
0,6408,3890,0,1,6408,4032,2100,1
1,6063,1114,1294,0,6408,3342,0,0
2,4481,2373,3168,0,5373,0,0,2
0,6408,1230,0,1,6408,530,2413,1
1,5981,3336,259,0,6408,842,0,0
1,6408,4032,1191,0,6408,4032,0,0
3,6408,4032,4032,0,0,0,0,2
1,6408,4032,2415,0,6408,4032,0,0
0,6408,1000,0,1,6408,1616,3776,1
1,6276,668,3229,0,6408,1412,0,0
0,6408,4032,0,1,5832,3668,832,1
1,6408,3385,3800,0,5028,2063,0,0
2,5076,3578,0,1,3025,0,0,2
1,6408,561,2736,0,6408,2997,0,0
1,6408,2708,1382,0,6134,591,0,0
1,6408,846,2890,0,6408,838,0,0
1,6408,3800,1421,0,6408,2496,0,0
2,3194,4032,0,1,3668,0,0,2
0,6408,2052,0,1,6408,596,2652,1
0,0,0,0,3,6408,4032,2997,1
1,6408,2997,578,0,6273,2652,0,0
2,0,0,0,3,2074,0,0,2
0,0,0,0,3,6408,3324,1419,1
0,6408,4032,0,1,6408,2763,1476,1
3,6408,3342,4032,0,0,0,0,2
1,6408,3901,2158,0,3606,2675,0,0
1,6408,4032,2452,0,6408,3758,0,0
2,3576,129,0,1,4598,0,0,2
0,0,0,0,3,6408,4032,2920,1
0,6408,685,0,1,6408,1989,4032,1
0,6408,4032,0,1,6408,3443,4032,1
1,6408,1184,2145,0,5487,1653,0,0
0,6408,1734,0,1,6408,2091,1617,1
1,6408,0,0,2,4757,2605,0,1
1,6408,2428,3856,0,6408,4032,0,0
2,6408,2972,1359,0,6331,0,0,0
